	Species	Isotopologue		HITRAN		HITEMP			Exomol		
1	H2O	1H2-16O			0	HITRAN	1	HITEMP	0	POKAZATEL	0	BT2
1	H2O	1H2-18O			0	HITRAN	1	HITEMP	0	HotWat78		
1	H2O	1H2-17O			0	HITRAN	1	HITEMP	0	HotWat78		
1	H2O	1H-2H-16O		0	HITRAN	1	HITEMP	0	VTT		
1	H2O	1H-2H-18O		0	HITRAN	1	HITEMP				
1	H2O	1H-2H-17O		0	HITRAN	1	HITEMP				
1	H2O	2H2-16O			0	HITRAN	1	HITEMP				
2	CO2	12C-16O2		0	HITRAN	1	HITEMP	0	UCL-4000				
2	CO2	13C-16O2		0	HITRAN	1	HITEMP				
2	CO2	16O-12C-18O		0	HITRAN	1	HITEMP				
2	CO2	16O-12C-17O		0	HITRAN	1	HITEMP				
2	CO2	16O-13C-18O		0	HITRAN	1	HITEMP				
2	CO2	16O-13C-17O		0	HITRAN	1	HITEMP				
2	CO2	12C-18O2		0	HITRAN	1	HITEMP				
2	CO2	17O-12C-18O		0	HITRAN	1	HITEMP				
2	CO2	12C-17O2		0	HITRAN	1	HITEMP				
2	CO2	13C-18O2		0	HITRAN	1	HITEMP				
2	CO2	18O-13C-17O		0	HITRAN	1	HITEMP				
2	CO2	13C-17O2		0	HITRAN	1	HITEMP				
3	O3	16O3			1	HITRAN						
3	O3	16O-16O-18O		1	HITRAN						
3	O3	16O-18O-16O		1	HITRAN						
3	O3	16O-16O-17O		1	HITRAN						
3	O3	16O-17O-16O		1	HITRAN						
4	N2O	14N2-16O		0	HITRAN	1	HITEMP				
4	N2O	14N-15N-16O		0	HITRAN	1	HITEMP				
4	N2O	15N-14N-16O		0	HITRAN	1	HITEMP				
4	N2O	14N2-18O		0	HITRAN	1	HITEMP				
4	N2O	14N2-17O		0	HITRAN	1	HITEMP				
5	CO	12C-16O			0	HITRAN	1	HITEMP	0	Li2015		
5	CO	13C-16O			0	HITRAN	1	HITEMP	0	Li2015		
5	CO	12C-18O			0	HITRAN	1	HITEMP	0	Li2015		
5	CO	12C-17O			0	HITRAN	1	HITEMP	0	Li2015		
5	CO	13C-18O			0	HITRAN	1	HITEMP	0	Li2015		
5	CO	13C-17O			0	HITRAN	1	HITEMP	0	Li2015		
6	CH4	12C-1H4			0	HITRAN	1	HITEMP	0	YT34to10	0	YT10to10
6	CH4	13C-1H4			0	HITRAN	1	HITEMP				
6	CH4	12C-1H3-2H		0	HITRAN	1	HITEMP				
6	CH4	13C-1H3-2H		0	HITRAN	1	HITEMP				
7	O2	16O2			1	HITRAN						
7	O2	16O-18O			1	HITRAN						
7	O2	16O-17O			1	HITRAN						
8	NO	14N-16O			0	HITRAN	1	HITEMP	0	NOname		
8	NO	15N-16O			0	HITRAN	1	HITEMP	0	NOname		
8	NO	14N-18O			0	HITRAN	1	HITEMP	0	NOname		
8	NO	15N-18O							0	NOname		
8	NO	14N-17O							0	NOname		
9	SO2	32S-16O2		1	HITRAN			0	ExoAmes		
9	SO2	34S-16O2		1	HITRAN
9	SO2	33S-16O2		1	HITRAN
9	SO2	16O-32S-18O		1	HITRAN
10	NO2	14N-16O2		0	HITRAN	1	HITEMP
10	NO2	15N-16O2		0	HITRAN	1	HITEMP
10	NO2	14N-16O-18O		0	HITRAN	1	HITEMP
11	NH3	14N-1H3			1	HITRAN			0	CoYuTe		0	BYTe
11	NH3	15N-1H3			1	HITRAN			0	BYTe-15		
12	HNO3	1H-14N-16O3		1	HITRAN			0	AIJS		
12	HNO3	1H-15N-16O3		1	HITRAN						
13	OH	16O-1H			0	HITRAN	1	HITEMP	0	MoLLIST		
13	OH	18O-1H			0	HITRAN	1	HITEMP				
13	OH	16O-2H			0	HITRAN	1	HITEMP				
14	HF	1H-19F		 	1	HITRAN			0	Coxon-Hajig		
14	HF	2H-19F			1	HITRAN						
15	HCl	1H-35Cl			1	HITRAN						
15	HCl	1H-37Cl			1	HITRAN						
15	HCl	2H-35Cl			1	HITRAN						
15	HCl	2H-37Cl			1	HITRAN						
16	HBr	1H-79Br			1	HITRAN						
16	HBr	1H-81Br			1	HITRAN						
16	HBr	2H-79Br			1	HITRAN						
16	HBr	2H-81Br			1	HITRAN						
17	HI	1H-127I			1	HITRAN						
17	HI	2H-127I			1	HITRAN						
18	ClO	35Cl-16O		1	HITRAN						
18	ClO	37Cl-16O		1	HITRAN						
19	OCS	16O-12C-32S		1	HITRAN						
19	OCS	16O-12C-34S		1	HITRAN						
19	OCS	16O-13C-32S		1	HITRAN						
19	OCS	16O-12C-33S		1	HITRAN						
19	OCS	18O-12C-32S		1	HITRAN
19	OCS	16O-13C-34S		1	HITRAN						
20	H2CO	1H2-12C-16O		1	HITRAN				0	AYTY		
20	H2CO	1H2-13C-16O		1	HITRAN						
20	H2CO	1H2-12C-18O		1	HITRAN						
21	HOCl	1H-16O-35Cl		1	HITRAN						
21	HOCl	1H-16O-37Cl		1	HITRAN						
22	N2	14N2			1	HITRAN				0	WCCRMT		
22	N2	14N-15N			1	HITRAN						
23	HCN	1H-12C-14N		1	HITRAN				0	Harris		
23	HCN	1H-13C-14N		1	HITRAN				0	Larner		
23	HCN	1H-12C-15N		1	HITRAN						
24	CH3Cl	12C-1H3-35Cl		1	HITRAN				0	OYT		
24	CH3Cl	12C-1H3-37Cl		1	HITRAN				0	OYT		
25	H2O2	1H2-16O2		1	HITRAN				0	APTY		
26	C2H2	12C2-1H2		1	HITRAN				0	aCeTY		
26	C2H2	1H-12C-13C-1H		1	HITRAN						
26	C2H2	1H-12C-12C-2H		1	HITRAN						
27	C2H6	12C2-1H6		1	HITRAN						
27	C2H6	12C-1H3-13C-1H3		1	HITRAN						
28	PH3	31P-1H3			1	HITRAN				0	SAlTY		
29	COF2	12C-16O-19F2		1	HITRAN						
29	COF2	13C-16O-19F2		1	HITRAN						
30	SF6	32S-19F6		1	HITRAN						
31	H2S	1H2-32S			1	HITRAN				0	AYT2		
31	H2S	1H2-34S			1	HITRAN						
31	H2S	1H2-33S			1	HITRAN						
32	HCOOH	1H-12C-16O-16O-1H	1	HITRAN
32	HCOOH	1H-13C-16O-16O-1H	1	HITRAN						
33	HO2	1H-16O2			1	HITRAN						
35	ClONO2	35Cl-16O-14N-16O2	1	HITRAN						
35	ClONO2	37Cl-16O-14N-16O2	1	HITRAN						
36	NO+	14N-16O_p		1	HITRAN						
37	HOBr	1H-16O-79Br		1	HITRAN						
37	HOBr	1H-16O-81Br		1	HITRAN						
38	C2H4	12C2-1H4		1	HITRAN				0	MaYTY		
38	C2H4	12C-1H2-13C-1H2		1	HITRAN						
39	CH3OH	12C-1H3-16O-1H		1	HITRAN						
40	CH3Br	12C-1H3-79Br		1	HITRAN						
40	CH3Br	12C-1H3-81Br		1	HITRAN						
41	CH3CN	12C-1H3-12C-14N		1	HITRAN						
42	CF4	12C-19F4		1	HITRAN						
43	C4H2	12C4-1H2		1	HITRAN						
44	HC3N	1H-12C3-14N		1	HITRAN						
45	H2	1H2			1	HITRAN				0	RACPPK		
45	H2	1H-2H			1	HITRAN				0	ADJSAAM		
46	CS	12C-32S			1	HITRAN				0	JnK		
46	CS	12C-34S			1	HITRAN				0	JnK		
46	CS	13C-32S			1	HITRAN				0	JnK		
46	CS	12C-33S			1 	HITRAN				0	JnK		
46	CS	12C-36S								0	JnK		
46	CS	13C-33S								0	JnK		
46	CS	13C-34S								0	JnK		
46	CS	13C-36S								0	JnK		
47	SO3	32S-16O3		1	HITRAN				0	UYT2		
48	C2N2	12C2-14N2		1	HITRAN						
49	COCl2	12C-16O-35Cl2		1	HITRAN						
49	COCl2	12C-16O-35Cl-37Cl	1 	HITRAN						
50	SO	32S-16O			1	HITRAN
50	SO	34S-16O			1	HITRAN
50	SO	32S-18O			1	HITRAN
51	CH3F	12C-1H3-19F		1	HITRAN				0	OYKYT
51	CH3F	13C-1H3-19F		1	HITRAN
52	GeH4	74Ge-1H4		1	HITRAN
52	GeH4	72Ge-1H4		1	HITRAN
52	GeH4	70Ge-1H4		1	HITRAN
52	GeH4	73Ge-1H4		1	HITRAN
52	GeH4	76Ge-1H4		1	HITRAN
53	CS2	12C-32S2		1	HITRAN
53	CS2	32S-12C-34S		1	HITRAN
53	CS2	32S-12C-33S		1	HITRAN
53	CS2	13C-32S2		1	HITRAN
54	CH3I	12C-1H3-127I		1	HITRAN
55	NF3	14N-19F3		1	HITRAN
56	H3+	1H3_p			1	HITRAN				0	MiZATeP
56	H3+	1H2-2H_p							0	ST
57	CH3	12C-1H3			1	HITRAN				0	AYYJ
58	S2	32S2			1	HITRAN
59	COFCl	12C-16O-19F-35Cl	1	HITRAN
59	COFCl	12C-16O-19F-37Cl	1	HITRAN
60	HONO	1H-16O-14N-16O		1	HITRAN
61	ClNO2	35Cl-14N-16O2		1	HITRAN
61	ClNO2	37Cl-14N-16O2		1	HITRAN
501	OH+	16O-1H_p		 					0	MoLLIST		
502	VO	51V-16O								0	VOMYT		
503	AlO	27Al-16O							0	ATP		
503	AlO	26Al-16O							0	ATP		
503	AlO	27Al-17O							0	ATP		
503	AlO	27Al-18O							0	ATP		
504	MgO	24Mg-16O							0	LiTY		
504	MgO	25Mg-16O							0	LiTY		
504	MgO	26Mg-16O							0	LiTY		
504	MgO	24Mg-17O							0	LiTY		
504	MgO	24Mg-18O							0	LiTY		
505	TiO	49Ti-16O							0	Toto		0	Kurucz
505	TiO	48Ti-16O							0	Toto		0	Kurucz
505	TiO	47Ti-16O							0	Toto		0	Kurucz
505	TiO	50Ti-16O							0	Toto		0	Kurucz
505	TiO	46Ti-16O							0	Toto		0	Kurucz
506	SiO	28Si-16O							0	EBJT		
506	SiO	28Si-17O							0	EBJT		
506	SiO	28Si-18O							0	EBJT		
506	SiO	29Si-16O							0	EBJT		
506	SiO	30Si-16O							0	EBJT		
507	CaO	40Ca-16O							0	VBATHY		
508	YO	89Y-16O								0	SSYT		
509	NH	14N-1H								0	MoLLIST		
510	CH	12C-1H								0	MoLLIST		
510	CH	13C-1H								0	MoLLIST		
511	SiH	28Si-1H								0	SiGHTLY		
511	SiH	29Si-1H								0	SiGHTLY		
511	SiH	30Si-1H								0	SiGHTLY		
511	SiH	28Si-2H								0	SiGHTLY		
512	SH	32S-1H								0	GYT		0	SNaSH
512	SH	33S-1H								0	GYT		0	SNaSH
512	SH	34S-1H								0	GYT		0	SNaSH
512	SH	36S-1H								0	GYT		0	SNaSH
512	SH	32S-2H								0	GYT		0	SNaSH
513	PH	31P-1H								0	LaTY		
514	SiH2	28Si-1H2							0	CATS		
515	SiO2	28Si-16O2							0	OYT3		
516	MgH	24Mg-1H								0	Yadin		
516	MgH	25Mg-1H								0	Yadin		
516	MgH	26Mg-1H								0	Yadin		
517	NaH	23Na-1H								0	Rivlin		
517	NaH	23Na-2H								0	Rivlin		
518	AlH	27Al-1H								0	AlHambra		
518	AlH	27Al-2H								0	AlHambra		
518	AlH	26Al-1H								0	AlHambra		
519	CrH	52Cr-1H								0	MoLLIST		
520	CaH	40Ca-1H								0	Yadin		
521	BeH	9Be-1H								0	Darby-Lewis		
521	BeH	9Be-2H								0	Darby-Lewis		
521	BeH	9Be-3H								0	Darby-Lewis		
522	TiH	48Ti-1H								0	MoLLIST		
523	FeH	56Fe-1H								0	MoLLIST		
524	LiH	7Li-1H								0	CLT-LiH
525	ScH	45Sc-1H								0	LYT		
526	SiH4	28Si-1H4							0	OY2T		
527	AsH3	75As-1H3							0	CYT18		
528	P2H2	31P2-1H2							0	Trans		
528	P2H2	31P2-1H-2H							0	Trans		
529	PF3	31P-19F3							0	MCYTY		
530	PO	31P-16O								0	POPS		
531	PN	31P-14N								0	YYLT		
531	PN	31P-15N								0	YYLT		
532	KCl	39K-35Cl							0	Barton		
532	KCl	39K-37Cl							0	Barton		
532	KCl	41K-35Cl							0	Barton		
532	KCl	41K-37Cl							0	Barton		
533	NaCl	23Na-35Cl							0 	Barton		
533	NaCl	23Na-37Cl							0	Barton		
534	LiCl	7Li-35Cl							0	MoLLIST		
534	LiCl	7Li-37Cl							0	MoLLIST		
534	LiCl	6Li-35Cl							0	MoLLIST		
534	LiCl	6Li-37Cl							0	MoLLIST		
535	CN	12C-14N								0 	MoLLIST		
536	C2	12C2								0	8states		
536	C2	12C-13C								0	8states		
536	C2	13C2								0	8states		
537	CP	12C-31P								0	MoLLIST		
538	PS	31P-32S								0	POPS		
539	NS	14N-32S								0	SNaSH		
539	NS	15N-32S								0	SNaSH		
539	NS	14N-33S								0	SNaSH		
539	NS	14N-34S								0	SNaSH		
539	NS	14N-36S								0	SNaSH		
540	SiS	28Si-32S							0	UCTY		
540	SiS	28Si-33S							0	UCTY		
540	SiS	28Si-34S							0	UCTY		
540	SiS	28Si-36S							0	UCTY		
540	SiS	29Si-32S							0	UCTY		
540	SiS	29Si-34S							0	UCTY		
540	SiS	29Si-36S							0	UCTY		
540	SiS	30Si-32S							0	UCTY		
540	SiS	30Si-33S							0	UCTY		
540	SiS	30Si-34S							0	UCTY		
540	SiS	30Si-36S							0	UCTY		
540	SiS	29Si-33S							0	UCTY		
541	NaF	23Na-19F							0	MoLLIST		
542	AlCl	27Al-35Cl							0	MoLLIST		
542	AlCl	27Al-37Cl							0	MoLLIST		
543	AlF	27Al-19F							0	MoLLIST		
544	KF	39K-19F								0	MoLLIST		
544	KF	41K-19F								0	MoLLIST		
545	LiF	7Li-19F								0	MoLLIST		
545	LiF	6Li-19F								0	MoLLIST		
546	CaF	40Ca-19F							0	MoLLIST		
546	CaF	42Ca-19F							0	MoLLIST		
546	CaF	43Ca-19F							0	MoLLIST		
546	CaF	44Ca-19F							0	MoLLIST		
546	CaF	46Ca-19F							0 	MoLLIST		
546	CaF	48Ca-19F							0 	MoLLIST		
547	MgF	24Mg-19F							0	MoLLIST		
547	MgF	25Mg-19F							0	MoLLIST		
547	MgF	26Mg-19F							0	MoLLIST		
548	LiH+	7Li-1H_p							0	CLT(no pf)
549	H2+	1H-2H_p								0	ADJSAAM		0	LT
550	HeH+	4He-1H_p							0	ADJSAAM		0	Engel
550	HeH+	3He-1H_p							0	ADJSAAM		0	Engel
550	HeH+	4He-2H_p							0	ADJSAAM		0	Engel
550	HeH+	3He-2H_p							0 	ADJSAAM		0	Engel
999	dummy	dummy										0	dummy
